PO_ID,OrderDate,SupplierID,Country,AppleVariety,QuantityOrdered (Original),QuantityOrdered (Adjusted),HarvestMonth,HarvestYear,ExpectedArrivalDate (Original),ExpectedArrivalDate (Adjusted),DemandMonthTarget,SourceHarvestID,reason_of_disruption
PO_00001,2023-01-01,S2,South Africa,Fuji,344,344,January,2023,2023-01-26,2023-02-02,2023-04,S2_Fuji_1_2023,"South African apple season slightly delayed [1]"
PO_00002,2023-01-01,S2,South Africa,"Golden Delicious",318,318,January,2023,2023-01-26,2023-02-02,2023-04,"S2_Golden Delicious_1_2023","South African apple season slightly delayed [1]"
PO_00003,2023-01-01,S2,South Africa,"Granny Smith",272,272,January,2023,2023-01-26,2023-02-02,2023-04,"S2_Granny Smith_1_2023","South African apple season slightly delayed [1]"
PO_00004,2023-01-01,S2,South Africa,"Pink Lady",262,262,January,2023,2023-01-26,2023-02-02,2023-04,"S2_Pink Lady_1_2023","South African apple season slightly delayed [1]"
PO_00005,2023-01-01,S2,South Africa,"Royal Gala",325,325,January,2023,2023-01-26,2023-02-02,2023-04,"S2_Royal Gala_1_2023","South African apple season slightly delayed [1]"
PO_00006,2023-02-01,S2,South Africa,Fuji,318,318,February,2023,2023-02-26,2023-02-26,2023-05,S2_Fuji_2_2023,"No major disruption identified based on current research."
PO_00007,2023-02-01,S2,South Africa,"Golden Delicious",291,291,February,2023,2023-02-26,2023-02-26,2023-05,"S2_Golden Delicious_2_2023","No major disruption identified based on current research."
PO_00008,2023-02-01,S2,South Africa,"Granny Smith",243,243,February,2023,2023-02-26,2023-02-26,2023-05,"S2_Granny Smith_2_2023","No major disruption identified based on current research."
PO_00009,2023-02-01,S2,South Africa,"Pink Lady",276,276,February,2023,2023-02-26,2023-02-26,2023-05,"S2_Pink Lady_2_2023","No major disruption identified based on current research."
PO_00010,2023-02-01,S2,South Africa,"Royal Gala",313,313,February,2023,2023-02-26,2023-02-26,2023-05,"S2_Royal Gala_2_2023","No major disruption identified based on current research."
PO_00011,2023-03-01,S2,South Africa,Fuji,272,272,March,2023,2023-03-26,2023-03-26,2023-06,S2_Fuji_3_2023,"No major disruption identified based on current research."
PO_00012,2023-03-01,S2,South Africa,"Golden Delicious",265,265,March,2023,2023-03-26,2023-03-26,2023-06,"S2_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00013,2023-03-01,S2,South Africa,"Granny Smith",230,230,March,2023,2023-03-26,2023-03-26,2023-06,"S2_Granny Smith_3_2023","No major disruption identified based on current research."
PO_00014,2023-03-01,S2,South Africa,"Pink Lady",246,246,March,2023,2023-03-26,2023-03-26,2023-06,"S2_Pink Lady_3_2023","No major disruption identified based on current research."
PO_00015,2023-03-01,S2,South Africa,"Royal Gala",288,288,March,2023,2023-03-26,2023-03-26,2023-06,"S2_Royal Gala_3_2023","No major disruption identified based on current research."
PO_00016,2023-04-01,S2,South Africa,Fuji,258,258,April,2023,2023-04-26,2023-04-26,2023-07,S2_Fuji_4_2023,"No major disruption identified based on current research."
PO_00017,2023-04-01,S2,South Africa,"Golden Delicious",238,238,April,2023,2023-04-26,2023-04-26,2023-07,"S2_Golden Delicious_4_2023","No major disruption identified based on current research."
PO_00018,2023-04-01,S2,South Africa,"Granny Smith",216,216,April,2023,2023-04-26,2023-04-26,2023-07,"S2_Granny Smith_4_2023","No major disruption identified based on current research."
PO_00019,2023-04-01,S2,South Africa,"Pink Lady",223,223,April,2023,2023-04-26,2023-04-26,2023-07,"S2_Pink Lady_4_2023","No major disruption identified based on current research."
PO_00020,2023-04-01,S2,South Africa,"Royal Gala",272,272,April,2023,2023-04-26,2023-04-26,2023-07,"S2_Royal Gala_4_2023","No major disruption identified based on current research."
PO_00021,2023-05-01,S2,South Africa,Fuji,302,302,May,2023,2023-05-26,2023-05-26,2023-08,S2_Fuji_5_2023,"No major disruption identified based on current research."
PO_00022,2023-05-01,S1,India,"Golden Delicious",265,212,May,2023,2023-05-31,2023-06-14,2023-08,"S1_Golden Delicious_5_2023","Pre-monsoon rains in India likely impacted harvest [2]"
PO_00023,2023-05-01,S2,South Africa,"Granny Smith",230,230,May,2023,2023-05-26,2023-05-26,2023-08,"S2_Granny Smith_5_2023","No major disruption identified based on current research."
PO_00024,2023-05-01,S2,South Africa,"Pink Lady",209,209,May,2023,2023-05-26,2023-05-26,2023-08,"S2_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00025,2023-05-01,S2,South Africa,"Royal Gala",374,374,May,2023,2023-05-26,2023-05-26,2023-08,"S2_Royal Gala_5_2023","No major disruption identified based on current research."
PO_00026,2023-06-01,S2,South Africa,Fuji,130,130,May,2023,2023-06-26,2023-06-26,2023-09,S2_Fuji_5_2023,"No major disruption identified based on current research."
PO_00027,2023-06-01,S2,South Africa,Fuji,174,174,April,2023,2023-06-26,2023-06-26,2023-09,S2_Fuji_4_2023,"No major disruption identified based on current research."
PO_00028,2023-06-01,S3,Chile,Fuji,51,51,April,2023,2023-06-27,2023-06-27,2023-09,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00029,2023-06-01,S1,India,"Golden Delicious",348,348,May,2023,2023-07-01,2023-07-01,2023-09,"S1_Golden Delicious_5_2023","No major disruption identified based on current research."
PO_00030,2023-06-01,S2,South Africa,"Granny Smith",258,258,May,2023,2023-06-26,2023-06-26,2023-09,"S2_Granny Smith_5_2023","No major disruption identified based on current research."
PO_00031,2023-06-01,S2,South Africa,"Pink Lady",237,237,May,2023,2023-06-26,2023-06-26,2023-09,"S2_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00032,2023-06-01,S2,South Africa,"Royal Gala",480,480,May,2023,2023-06-26,2023-06-26,2023-09,"S2_Royal Gala_5_2023","No major disruption identified based on current research."
PO_00033,2023-07-01,S3,Chile,Fuji,437,437,April,2023,2023-07-27,2023-07-27,2023-10,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00034,2023-07-01,S1,India,"Golden Delicious",187,187,May,2023,2023-07-31,2023-07-31,2023-10,"S1_Golden Delicious_5_2023","No major disruption identified based on current research."
PO_00035,2023-07-01,S2,South Africa,"Golden Delicious",215,215,May,2023,2023-07-26,2023-07-26,2023-10,"S2_Golden Delicious_5_2023","No major disruption identified based on current research."
PO_00036,2023-07-01,S2,South Africa,"Granny Smith",160,160,May,2023,2023-07-26,2023-07-26,2023-10,"S2_Granny Smith_5_2023","No major disruption identified based on current research."
PO_00037,2023-07-01,S4,New Zealand,"Granny Smith",153,115,May,2023,2023-08-28,2023-10-09,2023-10,"S4_Granny Smith_5_2023","Cyclone Gabrielle caused significant damage in New Zealand [3]"
PO_00038,2023-07-01,S2,South Africa,"Pink Lady",58,58,May,2023,2023-07-26,2023-07-26,2023-10,"S2_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00039,2023-07-01,S3,Chile,"Pink Lady",225,225,May,2023,2023-07-27,2023-07-27,2023-10,"S3_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00040,2023-07-01,S2,South Africa,"Royal Gala",10,10,May,2023,2023-07-26,2023-07-26,2023-10,"S2_Royal Gala_5_2023","No major disruption identified based on current research."
PO_00041,2023-07-01,S2,South Africa,"Royal Gala",509,509,April,2023,2023-07-26,2023-07-26,2023-10,"S2_Royal Gala_4_2023","No major disruption identified based on current research."
PO_00042,2023-08-01,S1,India,Fuji,200,100,August,2023,2023-08-31,2023-09-28,2023-11,S1_Fuji_8_2023,"Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00043,2023-08-01,S3,Chile,Fuji,284,284,April,2023,2023-08-27,2023-08-27,2023-11,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00044,2023-08-01,S2,South Africa,"Golden Delicious",361,361,May,2023,2023-08-26,2023-08-26,2023-11,"S2_Golden Delicious_5_2023","No major disruption identified based on current research."
PO_00045,2023-08-01,S2,South Africa,"Golden Delicious",55,55,April,2023,2023-08-26,2023-08-26,2023-11,"S2_Golden Delicious_4_2023","No major disruption identified based on current research."
PO_00046,2023-08-01,S4,New Zealand,"Granny Smith",341,341,May,2023,2023-09-28,2023-09-28,2023-11,"S4_Granny Smith_5_2023","No major disruption identified based on current research."
PO_00047,2023-08-01,S3,Chile,"Pink Lady",292,292,May,2023,2023-08-27,2023-08-27,2023-11,"S3_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00048,2023-08-01,S1,India,"Royal Gala",465,233,August,2023,2023-08-31,2023-09-28,2023-11,"S1_Royal Gala_8_2023","Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00049,2023-09-01,S1,India,Fuji,200,200,September,2023,2023-10-01,2023-10-01,2023-12,S1_Fuji_9_2023,"No major disruption identified based on current research."
PO_00050,2023-09-01,S3,Chile,Fuji,255,255,April,2023,2023-09-27,2023-09-27,2023-12,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00051,2023-09-01,S2,South Africa,"Golden Delicious",283,283,April,2023,2023-09-26,2023-09-26,2023-12,"S2_Golden Delicious_4_2023","No major disruption identified based on current research."
PO_00052,2023-09-01,S2,South Africa,"Golden Delicious",147,147,March,2023,2023-09-26,2023-09-26,2023-12,"S2_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00053,2023-09-01,S1,India,"Granny Smith",355,178,September,2023,2023-10-01,2023-10-29,2023-12,"S1_Granny Smith_9_2023","Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00054,2023-09-01,S1,India,"Pink Lady",279,279,September,2023,2023-10-01,2023-10-01,2023-12,"S1_Pink Lady_9_2023","No major disruption identified based on current research."
PO_00055,2023-09-01,S1,India,"Royal Gala",437,219,September,2023,2023-10-01,2023-10-29,2023-12,"S1_Royal Gala_9_2023","Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00056,2023-10-01,S1,India,Fuji,200,200,October,2023,2023-10-31,2023-10-31,2024-01,S1_Fuji_10_2023,"No major disruption identified based on current research."
PO_00057,2023-10-01,S3,Chile,Fuji,230,230,April,2023,2023-10-27,2023-10-27,2024-01,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00058,2023-10-01,S2,South Africa,"Golden Delicious",164,164,March,2023,2023-10-26,2023-10-26,2024-01,"S2_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00059,2023-10-01,S3,Chile,"Golden Delicious",238,238,March,2023,2023-10-27,2023-10-27,2024-01,"S3_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00060,2023-10-01,S1,India,"Granny Smith",325,325,October,2023,2023-10-31,2023-10-31,2024-01,"S1_Granny Smith_10_2023","No major disruption identified based on current research."
PO_00061,2023-10-01,S1,India,"Pink Lady",246,246,October,2023,2023-10-31,2023-10-31,2024-01,"S1_Pink Lady_10_2023","No major disruption identified based on current research."
PO_00062,2023-10-01,S1,India,"Royal Gala",163,82,September,2023,2023-10-31,2023-11-28,2024-01,"S1_Royal Gala_9_2023","Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00063,2023-10-01,S1,India,"Royal Gala",135,135,August,2023,2023-10-31,2023-10-31,2024-01,"S1_Royal Gala_8_2023","No major disruption identified based on current research."
PO_00064,2023-10-01,S2,South Africa,"Royal Gala",81,81,April,2023,2023-10-26,2023-10-26,2024-01,"S2_Royal Gala_4_2023","No major disruption identified based on current research."
PO_00065,2023-11-01,S3,Chile,Fuji,63,63,April,2023,2023-11-27,2023-11-27,2024-02,S3_Fuji_4_2023,"No major disruption identified based on current research."
PO_00066,2023-11-01,S4,New Zealand,Fuji,339,339,April,2023,2023-12-29,2023-12-29,2024-02,S4_Fuji_4_2023,"No major disruption identified based on current research."
PO_00067,2023-11-01,S3,Chile,"Golden Delicious",374,374,March,2023,2023-11-27,2023-11-27,2024-02,"S3_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00068,2023-11-01,S1,India,"Granny Smith",125,63,October,2023,2023-12-01,2023-12-29,2024-02,"S1_Granny Smith_10_2023","Floods in Himachal Pradesh, India, significantly reduced apple production [2, 4]"
PO_00069,2023-11-01,S1,India,"Granny Smith",95,95,September,2023,2023-12-01,2023-12-01,2024-02,"S1_Granny Smith_9_2023","No major disruption identified based on current research."
PO_00070,2023-11-01,S4,New Zealand,"Granny Smith",93,93,May,2023,2023-12-29,2023-12-29,2024-02,"S4_Granny Smith_5_2023","No major disruption identified based on current research."
PO_00071,2023-11-01,S1,India,"Pink Lady",104,104,October,2023,2023-12-01,2023-12-01,2024-02,"S1_Pink Lady_10_2023","No major disruption identified based on current research."
PO_00072,2023-11-01,S1,India,"Pink Lady",71,71,September,2023,2023-12-01,2023-12-01,2024-02,"S1_Pink Lady_9_2023","No major disruption identified based on current research."
PO_00073,2023-11-01,S3,Chile,"Pink Lady",62,62,May,2023,2023-11-27,2023-11-27,2024-02,"S3_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00074,2023-11-01,S2,South Africa,"Royal Gala",2,2,April,2023,2023-11-26,2023-11-26,2024-02,"S2_Royal Gala_4_2023","No major disruption identified based on current research."
PO_00075,2023-11-01,S2,South Africa,"Royal Gala",353,353,March,2023,2023-11-26,2023-11-26,2024-02,"S2_Royal Gala_3_2023","No major disruption identified based on current research."
PO_00076,2023-12-01,S4,New Zealand,Fuji,374,374,April,2023,2024-01-28,2024-01-28,2024-03,S4_Fuji_4_2023,"No major disruption identified based on current research."
PO_00077,2023-12-01,S3,Chile,"Golden Delicious",348,348,March,2023,2023-12-27,2023-12-27,2024-03,"S3_Golden Delicious_3_2023","No major disruption identified based on current research."
PO_00078,2023-12-01,S4,New Zealand,"Granny Smith",298,238,May,2023,2024-01-28,2024-03-10,2024-03,"S4_Granny Smith_5_2023","Cyclone Gabrielle caused significant damage in New Zealand [3]"
PO_00079,2023-12-01,S3,Chile,"Pink Lady",254,254,May,2023,2023-12-27,2023-12-27,2024-03,"S3_Pink Lady_5_2023","No major disruption identified based on current research."
PO_00080,2023-12-01,S2,South Africa,"Royal Gala",223,223,March,2023,2023-12-26,2024-01-02,2024-03,"S2_Royal Gala_3_2023","No major disruption identified based on current research."
